SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
IE-Cra,01/01/2020 01:00,-1,-0.916666667,-0.28139175,-0.16692049,-0.173663867,-0.166976413,,,-0.177393333,,-0.437496875,,,0.3535,-0.4999975,,0.042325,-0.4849152,-0.486863636,-0.165555556,-0.46161,,,,,,,,,,0.873178
IE-Cra,01/01/2020 02:00,-1,-0.833333333,-0.28078,-0.16693447,-0.175034133,-0.167594048,,,-0.19057,,-0.437495312,,,0.363,-0.49999625,,0.030946875,-0.48664215,-0.489159091,-0.178333333,-0.4613,,,,,,,,,,0.837533
IE-Cra,01/01/2020 03:00,-1,-0.75,-0.27802275,-0.166970567,-0.16378809,-0.165708232,,,-0.189573333,,-0.437495156,,,0.403,-0.499996,,0.021025,-0.4898693,-0.493072727,-0.301111111,-0.47617,,,,,,,,,,0.817959
IE-Cra,01/01/2020 04:00,-1,-0.666666667,-0.27348425,-0.167056742,-0.167927745,-0.166154275,,,-0.18843,,-0.437491875,,,0.444,-0.49999325,,0.008021875,,-0.49655,-0.336277778,-0.48912,,,,,,,,,,0.622797
IE-Cra,01/01/2020 05:00,-1,-0.583333333,-0.26925,-0.167205762,-0.169771495,-0.165363447,,,-0.186661667,,-0.437481719,,,0.473,-0.499985,,0.002490625,,-0.49845,-0.089,-0.48645,,,,,,,,,,
IE-Cra,01/01/2020 06:00,-1,-0.5,-0.26648275,-0.167405273,-0.169577187,-0.16581556,,,-0.176216167,,-0.437477656,,,0.484,-0.4999815,,-0.0050875,-0.49427,-0.499163636,-0.191694444,-0.49373,,,,,,,,,,0.945928
IE-Cra,01/01/2020 07:00,-1,-0.416666667,-0.2654825,-0.167629757,-0.168188772,-0.166267677,,,-0.167147,,-0.437476094,,,0.4895,-0.49998,,0.00663125,-0.49379,-0.499372727,-0.611944444,-0.489955,,,,,,,,,,
IE-Cra,01/01/2020 08:00,-1,-0.333333333,-0.26396675,-0.167847133,-0.167266775,-0.166620904,,,-0.169761667,,-0.437426094,,,0.489,-0.4999385,,0.01211875,-0.49366,-0.499295455,-0.544027778,-0.486915,,,,,,,,,,0.705907
IE-Cra,01/01/2020 09:00,-1,-0.25,-0.26910225,-0.168027845,-0.173637933,-0.166106427,,,-0.1661415,,-0.43269375,,,0.49,-0.49600125,,0.018371875,,-0.499313636,-0.468333333,-0.480385,,,,,,,,,,0.802226
IE-Cra,01/01/2020 10:00,-1,-0.166666667,-0.2764675,-0.16817087,-0.171069393,-0.165984682,,,-0.161031667,,-0.421707813,,,0.4465,-0.486861,,0.02885625,,-0.495831818,-0.294166667,-0.468185,,,,,,,,,,0.7915365
IE-Cra,01/01/2020 11:00,-1,-0.083333333,-0.283412,-0.168263148,-0.1727386,-0.165035505,,,-0.157935,,-0.412432813,,,0.3805,-0.479144,,0.037165625,-0.4801642,-0.489813636,-0.167222222,-0.476185,,,,,,,,,,0.680932
IE-Cra,01/01/2020 12:00,-1,0,-0.28715975,-0.168297273,-0.169642485,-0.163488278,,,-0.154603333,,-0.402140625,,,0.334,-0.470581,,0.045471875,-0.47793505,-0.484572727,-0.078888889,-0.455775,0.055439449,0.217925499,0.03586489,0.056288062,0.23691079,0.153945884,0.074629096,0,0,-0.747693
IE-Cra,01/01/2020 13:00,-1,0.083333333,-0.288368,-0.1682834,-0.168992478,-0.164154678,,,-0.156341667,,-0.405515625,,,0.3095,-0.473389,,0.0492875,-0.4737151,-0.481554545,-0.086666667,-0.44449,,,,,,,,,,-0.7798175
IE-Cra,01/01/2020 14:00,-1,0.166666667,-0.2892715,-0.168228383,-0.167312294,-0.163277202,,,-0.15149,,-0.39,,,0.30645,-0.46048,,0.0525625,-0.47496545,-0.480590909,-0.133611111,-0.44871,,,,,,,,,,-0.859137
IE-Cra,01/01/2020 15:00,-1,0.25,-0.289883,-0.168138795,-0.171912267,-0.164734655,,,-0.16565,,-0.394125,,,0.311,-0.463912,,0.0530625,-0.4814502,-0.480940909,-0.096111111,-0.44574,,,,,,,,,,-0.906719
IE-Cra,01/01/2020 16:00,-1,0.333333333,-0.285817,-0.168029073,-0.171796183,-0.166779138,,,-0.18136,,-0.424992187,,,0.393,-0.4895935,,0.041478125,-0.4870277,-0.490418182,-0.259722222,-0.465615,,,,,,,,,,0.7982585
IE-Cra,01/01/2020 17:00,-1,0.416666667,-0.28201675,-0.167941562,-0.169073898,-0.166829947,,,-0.182226667,,-0.437301719,,,0.431,-0.499835,,0.032571875,-0.4890392,-0.494440909,-0.3125,-0.46819,,,,,,,,,,0.848181
IE-Cra,01/01/2020 18:00,-1,0.5,-0.2813325,-0.167895502,-0.17060197,-0.1680311,,,-0.176398333,,-0.43749,,,0.4445,-0.4999915,,0.031721875,-0.4868616,-0.495577273,-0.333611111,-0.46516,,,,,,,,,,0.8478435
IE-Cra,01/01/2020 19:00,-1,0.583333333,-0.28119225,-0.167874373,-0.1719544,-0.167787159,,,-0.178965,,-0.437487813,,,0.4395,-0.49998975,,0.0342625,-0.49429,-0.495031818,-0.249444444,-0.47169,,,,,,,,,,0.845888
IE-Cra,01/01/2020 20:00,-1,0.666666667,-0.2834425,-0.167863905,-0.178997683,-0.167365282,,,-0.186061667,,-0.437486094,,,0.415,-0.49998825,,0.036475,-0.4806551,-0.492859091,0.043333333,-0.46455,,,,,,,,,,0.837688
IE-Cra,01/01/2020 21:00,-1,0.75,-0.28504125,-0.167868868,-0.183521,-0.167604778,,,-0.185641667,,-0.437484531,,,0.4025,-0.49998725,,0.04110625,-0.4737774,-0.491359091,-0.039722222,-0.446085,,,,,,,,,,0.7642405
IE-Cra,01/01/2020 22:00,-1,0.833333333,-0.2860045,-0.167893235,-0.180959667,-0.167421791,,,-0.186643333,,-0.437485938,,,0.39,-0.4999885,,0.043825,-0.4802483,-0.489977273,-0.022222222,-0.44764,,,,,,,,,,0.8784745
IE-Cra,01/01/2020 23:00,-1,0.916666667,-0.2870385,-0.16788621,-0.17647465,-0.167443538,,,-0.186786667,,-0.4374875,,,0.3855,-0.4999895,,0.046734375,-0.47529575,-0.489168182,-0.0675,-0.43472,,,,,,,,,,0.8975535
IE-Cra,02/01/2020 00:00,-0.994535519,-1,-0.28559225,-0.167909282,-0.174165687,-0.167537523,,,-0.18684,,-0.437490938,,,0.3845,-0.4999925,,0.04005625,-0.48830185,-0.489895455,-0.135555556,-0.47069,,,,,,,,,,0.846662
IE-Cra,02/01/2020 01:00,-0.994535519,-0.916666667,-0.28360475,-0.167977238,-0.175308407,-0.167778732,,,-0.185618333,,-0.437491719,,,0.431,-0.499993,,0.03160625,-0.488277,-0.4945,-0.2275,-0.47758,,,,,,,,,,0.832093
IE-Cra,02/01/2020 02:00,-0.994535519,-0.833333333,-0.2850625,-0.16803629,-0.185888067,-0.167189845,,,-0.18543,,-0.437479219,,,0.4095,-0.4999825,,0.0346625,-0.4799089,-0.492486364,0.405,-0.462835,,,,,,,,,,0.838426
IE-Cra,02/01/2020 03:00,-0.994535519,-0.75,-0.287172,-0.168121228,-0.185465,-0.165922838,,,-0.175798333,,-0.437477344,,,0.3885,-0.49998125,,0.047025,-0.4610044,-0.489440909,-0.088333333,-0.4094,,,,,,,,,,0.8982515
IE-Cra,02/01/2020 04:00,-0.994535519,-0.666666667,-0.28789225,-0.168205843,-0.18460715,-0.165466227,,,-0.171506667,,-0.437487656,,,0.3685,-0.49998975,,0.05290625,-0.4441721,-0.48675,-0.051111111,-0.37355,,,,,,,,,,0.805379
IE-Cra,02/01/2020 05:00,-0.994535519,-0.583333333,-0.288227,-0.168248345,-0.18326465,-0.166219987,,,-0.170596667,,-0.437481875,,,0.358,-0.49998475,,0.0566875,-0.44497175,-0.4851,-0.018055556,-0.36935,,,,,,,,,,0.9976335
IE-Cra,02/01/2020 06:00,-0.994535519,-0.5,-0.28822475,-0.168242012,-0.179033667,-0.165836087,,,-0.167772667,,-0.437481094,,,0.362,-0.49998425,,0.05871875,-0.4497381,-0.485209091,-0.011111111,-0.38505,,,,,,,,,,0.8742295
IE-Cra,02/01/2020 07:00,-0.994535519,-0.416666667,-0.28786625,-0.16819425,-0.1786068,-0.166337433,,,-0.168573667,,-0.437485938,,,0.368,-0.4999885,,0.06015625,-0.4496724,-0.485627273,-0.051944444,-0.37645,,,,,,,,,,0.8739675
IE-Cra,02/01/2020 08:00,-0.994535519,-0.333333333,-0.28803425,-0.16811372,-0.182423733,-0.166376935,,,-0.174458333,,-0.437455781,,,0.3565,-0.49996325,,0.0615,-0.4528152,-0.484136364,-0.068611111,-0.40285,,,,,,,,,,0.984194
IE-Cra,02/01/2020 09:00,-0.994535519,-0.25,-0.28853,-0.168009207,-0.178892717,-0.166432396,,,-0.166700833,,-0.436167813,,,0.3615,-0.49889175,,0.064875,-0.4460598,-0.484136364,-0.043055556,-0.37265,,,,,,,,,,0.843454
IE-Cra,02/01/2020 10:00,-0.994535519,-0.166666667,-0.28808875,-0.167886793,-0.182599467,-0.166322182,,,-0.171832667,,-0.42965,,,0.392,-0.49346875,,0.0655,-0.4453648,-0.487540909,-0.063611111,-0.3691,,,,,,,,,,1.3711885
IE-Cra,02/01/2020 11:00,-0.994535519,-0.083333333,-0.28884975,-0.167733558,-0.193854733,-0.165108722,,,-0.1728665,,-0.41010625,,,0.431,-0.4772085,,0.065625,-0.4428318,-0.492031818,-0.035,-0.3649,,,,,,,,,,0.250663
IE-Cra,02/01/2020 12:00,-0.994535519,0,-0.289927,-0.167537365,-0.188759883,-0.165004105,,,-0.169739667,,-0.4103125,,,0.4495,-0.47738,,0.0668125,,-0.494090909,-0.05,-0.3854,0.055455011,0.217953601,0.035944637,0.056313349,0.237041714,0.153978975,0.074665051,0,0,0.7976775
